,id,athlete_id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,achievement_count,kudos_count,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,average_heartrate_sort,max_heartrate_sort,elev_high,elev_low,pr_count,suffer_score,date,date_sort,time,distance_f,moving_time_f,pace,start_lat,start_lng
41,10885762313,2.0,Queenstown hill hike,8366.2,9073,9987,550.0,Walk,0,5,0.922,3.857,55.4,n/a,n/a,n/a,n/a,n/a,1,82.4,140.0,82.4,140,851.0,312.0,0,15.0,04/03/2024,738949,14:26:37,8.37km,02:31:13,18:05/km,-45.03204812295735,168.66201407276094
42,10865102584,2.0,Mordor walk,20040.8,18026,23307,856.0,Walk,0,11,1.112,2.12,52.6,n/a,n/a,n/a,n/a,n/a,1,101.8,161.0,101.8,161,1872.2,773.0,0,52.0,01/03/2024,738946,06:53:17,20.04km,05:00:26,14:59/km,-39.144300520420074,175.58086769655347
43,10858409842,2.0,Lunch Ride,9040.7,2239,4317,154.0,Ride,0,6,4.038,12.972,n/a,81.4,n/a,n/a,182.2,0,1,138.0,169.0,138.0,169,415.6,349.4,0,27.0,29/02/2024,738945,12:47:42,9.04km,00:37:19,14.5km/h,-38.669018195942044,176.0883642733097
44,10818732738,2.0,Sunset walk,4197.6,3264,5622,147.0,Walk,0,7,1.286,2.754,53.5,n/a,n/a,n/a,n/a,n/a,1,106.4,152.0,106.4,152,199.6,51.4,0,10.0,23/02/2024,738939,19:26:44,4.20km,00:54:24,12:58/km,-36.872898219153285,174.7600463591516
45,10816664750,2.0,Morning Run,5207.0,1664,2062,14.0,Run,0,6,3.129,7.36,78.5,349.0,588.0,321.0,580.7,1,1,147.5,162.0,147.5,162,47.6,5.2,0,32.0,23/02/2024,738939,09:29:54,5.21km,00:27:44,05:20/km,-36.85348019935191,174.75729600526392
46,10794531850,2.0,Afternoon Ride,31485.6,3277,3277,212.0,Ride,33,10,9.608,15.48,77.4,190.1,721.0,206.0,623.0,1,1,163.8,182.0,163.8,182,90.0,23.2,16,132.0,19/02/2024,738935,16:03:31,31.49km,00:54:37,34.6km/h,51.014655232429504,-0.37802333012223244
47,10767796036,2.0,Afternoon Run,5027.6,1655,1655,52.0,Run,0,8,3.038,4.066,80.6,350.1,472.0,349.0,579.4,1,1,146.7,161.0,146.7,161,55.8,25.8,0,32.0,15/02/2024,738931,16:35:45,5.03km,00:27:35,05:29/km,51.014632266014814,-0.37785510532557964
48,10756833694,2.0,Evening Workout,98.3,3552,3552,0.0,Workout,0,0,0.028,1.88,63.7,n/a,n/a,n/a,n/a,n/a,1,152.8,181.0,152.8,181,0.0,0.0,0,94.0,13/02/2024,738929,20:24:16,0.10km,00:59:12,595:14/km,n/a,n/a
49,10747478318,2.0,Afternoon Ride,31582.1,4641,6169,250.0,Ride,17,8,6.805,11.966,55.5,105.7,473.0,122.0,490.6,1,1,132.4,156.0,132.4,156,65.6,11.2,1,39.0,12/02/2024,738928,14:03:46,31.58km,01:17:21,24.5km/h,51.014620112255216,-0.3779186401516199
50,10741953261,2.0,Afternoon Run,5264.3,1614,1614,55.0,Run,0,2,3.262,5.22,79.4,368.5,618.0,374.0,594.7,1,1,148.1,178.0,148.1,178,54.0,23.6,0,34.0,11/02/2024,738927,15:53:37,5.26km,00:26:54,05:07/km,51.01449036039412,-0.3787896875292063
51,10727043508,2.0,Morning Alpine Ski,42140.1,7176,14681,0.0,AlpineSki,3,7,5.872,19.796,n/a,n/a,n/a,n/a,n/a,n/a,1,119.0,160.0,119.0,160,2904.4,1451.2,2,27.0,09/02/2024,738925,09:45:00,42.14km,01:59:36,02:50/km,45.340490425005555,6.580559592694044
52,10721092506,2.0,Morning Alpine Ski,44278.9,5079,18862,0.0,AlpineSki,14,4,8.718,25.664,n/a,n/a,n/a,n/a,n/a,n/a,1,128.8,178.0,128.8,178,2689.2,1440.4,9,34.0,08/02/2024,738924,09:09:12,44.28km,01:24:39,01:55/km,45.39668672718108,6.56944845803082
53,10715060672,2.0,Afternoon Alpine Ski,13296.2,1215,7907,0.0,AlpineSki,6,2,10.943,22.782,n/a,n/a,n/a,n/a,n/a,n/a,1,151.7,172.0,151.7,172,2656.8,1425.6,3,28.0,07/02/2024,738923,13:52:54,13.30km,00:20:15,01:31/km,45.375871025025845,6.515326257795095
54,10713871002,2.0,Morning Alpine Ski,22798.3,1955,8670,0.0,AlpineSki,8,4,11.662,21.722,n/a,n/a,n/a,n/a,n/a,n/a,1,133.4,162.0,133.4,162,2691.2,1645.8,3,17.0,07/02/2024,738923,10:05:48,22.80km,00:32:35,01:26/km,45.3833713196218,6.610393971204758
55,10707942997,2.0,Morning Alpine Ski,28441.7,3242,20958,0.0,AlpineSki,4,4,8.773,26.712,n/a,n/a,n/a,n/a,n/a,n/a,1,135.1,171.0,135.1,171,3210.0,1308.8,3,34.0,06/02/2024,738922,09:14:55,28.44km,00:54:02,01:54/km,45.39770940318704,6.5697401482611895
56,10701255798,2.0,Morning Alpine Ski,22682.2,2798,15810,0.0,AlpineSki,2,6,8.107,27.405,n/a,n/a,n/a,n/a,n/a,n/a,1,134.9,169.0,134.9,169,2668.8,1440.6,1,28.0,05/02/2024,738921,10:49:06,22.68km,00:46:38,02:03/km,45.39766179397702,6.569802425801754
57,10681258619,2.0,Afternoon Tennis,1972.5,2397,2442,0.0,Workout,0,3,0.823,3.744,56.4,n/a,n/a,n/a,n/a,n/a,1,126.2,175.0,126.2,175,47.0,45.4,0,13.0,02/02/2024,738918,14:43:43,1.97km,00:39:57,20:15/km,51.014509219676256,-0.38039851002395153
